"New Application Form for Direct Recruitment, Assam",https://services.india.gov.in/service/service_url_redirect?id=MjQxNTk=,"
                                                        
                              Informational                                                  ","Get services for Direct Recruitment (DR) (New Form), Assam",https://services.india.gov.in/service/detail/new-application-form-for-direct-recruitment-assam
"Application Form for Empanelment as Subject Expert/Professional/Academician, Assam",https://services.india.gov.in/service/service_url_redirect?id=MjQxNjU=,"
                                                        
                              Informational                                                  ","Get services for Application Form for Empanelment as Subject Expert/Professional/Academician, Assam",https://services.india.gov.in/service/detail/application-form-for-empanelment-as-subject-expertprofessionalacademician-assam
"Application Form Bio-Data for Empanelment as Supervisor/Invigilator in the Examination Hall, Assam",https://services.india.gov.in/service/service_url_redirect?id=MjQxNjQ=,"
                                                        
                              Informational                                                  ","Get services for Application Form Bio-Data for Empanelment as Supervisor/Invigilator in the Examination Hall, Assam",https://services.india.gov.in/service/detail/application-form-bio-data-for-empanelment-as-supervisorinvigilator-in-the-examination-hall-assam
Register with Directorate of Employment Delhi for jobs,https://services.india.gov.in/service/service_url_redirect?id=NTg=,"
                                                        
                              Fully Online                                                  ","Employment portal is a service provided by the Directorate of Employment under Government of National Capital Territory (NCT) of Delhi. Job seekers can register, validate and maintain their profile for job search online in the NCR. Registered job providers can also submit job notifications. Users can access the list of registered and validated job seekers. Details of Employment Manual, vacancy notification, etc. are also available.",https://services.india.gov.in/service/detail/register-with-directorate-of-employment-delhi-for-jobs
Register with Delhi Employment Exchange online,https://services.india.gov.in/service/service_url_redirect?id=Mzk4,"
                                                        
                              Fully Online                                                  ","Get registered with Delhi Employment Exchange online. Users have to provide personal information such as name, father's name, date of birth, gender, category, etc. Physical fitness details of the candidate is also required. Present and permanent addresses with phone numbers are mandatory to complete the online registration process.",https://services.india.gov.in/service/detail/register-with-delhi-employment-exchange-online-1
"Portal of the Employment Exchange of Labor and Employment, Arunachal Pradesh",https://services.india.gov.in/service/service_url_redirect?id=MTg3ODY=,"
                                                        
                              Fully Online                                                  ","Get services for Employment Exchange of Labor & Employment,  Arunachal Pradesh",https://services.india.gov.in/service/detail/portal-of-the-employment-exchange-of-labor-and-employment-arunachal-pradesh-1
"Application Form for Certificate of Jobs for Other Backward Classes (OBC) in Civil Posts and Services, Andhra Pradesh",https://services.india.gov.in/service/service_url_redirect?id=MjQxMDc=,"
                                                        
                              Informational                                                  ",Get services for Application Form for Certificate of Jobs for Other Backward Classes (OBC) in Civil Posts and Services under Central Govt. of India.,https://services.india.gov.in/service/detail/application-form-for-certificate-of-jobs-for-other-backward-classes-obc-in-civil-posts-and-services-andhra-pradesh
Information of online registration with Employment Exchange,https://services.india.gov.in/service/service_url_redirect?id=NDAy,"
                                                        
                              Informational                                                  ",Detailed information is given on how to register with the Employment Exchange by the India Development Gateway portal. Users can find details related to process of registration and benefits of registration with the Employment Exchange.,https://services.india.gov.in/service/detail/information-of-online-registration-with-employment-exchange-1
"Income Certificate, Gujarat",https://services.india.gov.in/service/service_url_redirect?id=NTYzNw==,"
                                                        
                              Fully Online                                                  ",Applicant may apply online for Income Certificate on the Digital Gujarat Portal. A Common Services Portal (CSP – Digital Gujarat Portal) is a vision to provide one-stop solution for all Government to Citizens Services for citizens of Gujarat State.,https://services.india.gov.in/service/detail/income-certificate-gujarat-1
Gujarat: Unreserved Economically Weaker Sections(For Job/Education Purpose),https://services.india.gov.in/service/service_url_redirect?id=OTkwMQ==,"
                                                        
                              Fully Online                                                  ","Applicant of unreserved economically weaker section may apply for certificate online for Job, Education purpose.",https://services.india.gov.in/service/detail/gujarat-unreserved-economically-weaker-sectionsfor-jobeducation-purpose-1
Gujarat: Obtain Cinema License,https://services.india.gov.in/service/service_url_redirect?id=OTkwOQ==,"
                                                        
                              Fully Online                                                  ","Applicant may apply online for Cinema license . Click on ""Apply Online” button for filing the form online or ""Download Form"" button for filling the form offline.",https://services.india.gov.in/service/detail/gujarat-obtain-cinema-license-1
Gujarat: Renewal of Video licence,https://services.india.gov.in/service/service_url_redirect?id=OTkxMA==,"
                                                        
                              Fully Online                                                  ","Applicant may apply online for  Renewal of video license . Click on ""Apply Online” button for filing the form online or ""Download Form"" button for filling the form offline.",https://services.india.gov.in/service/detail/gujarat-renewal-of-video-licence-1
Gujarat: Obtain SC/ST Caste Certificate,https://services.india.gov.in/service/service_url_redirect?id=MTA1MDM=,"
                                                        
                              Fully Online                                                  ",Applicant may apply online to avail SC/ST Caste Certificate on the Digital Gujarat portal.,https://services.india.gov.in/service/detail/gujarat-obtain-scst-caste-certificate-1
Gujarat: Obtain Domicile Certificate,https://services.india.gov.in/service/service_url_redirect?id=MTA1MDQ=,"
                                                        
                              Fully Online                                                  ",Applicant may apply online for Domicile Certificate on the Digital Gujarat portal.,https://services.india.gov.in/service/detail/gujarat-obtain-domicile-certificate-1
Gujarat: Obtain Economically Backward Certificate (Panchayat),https://services.india.gov.in/service/service_url_redirect?id=MTA1MjA=,"
                                                        
                              Fully Online                                                  ",Applicant may apply online for Economically Backward Certificate on the Digital Gujarat portal.,https://services.india.gov.in/service/detail/gujarat-obtain-economically-backward-certificate-panchayat-1
Gujarat: Obtain Religious Minority Certificate (Panchayat),https://services.india.gov.in/service/service_url_redirect?id=MTA1MTk=,"
                                                        
                              Fully Online                                                  ",Applicant may apply online for Religious Minority Certificate (Panchayat) on the Digital Gujarat portal.,https://services.india.gov.in/service/detail/gujarat-obtain-religious-minority-certificate-panchayat
Gujarat: Obtain SC/ST Caste Certificate (Panchayat),https://services.india.gov.in/service/service_url_redirect?id=MTA1MjI=,"
                                                        
                              Fully Online                                                  ",Applicant may apply online for SC/ST Caste Certificate on the Digital Gujarat portal.,https://services.india.gov.in/service/detail/gujarat-obtain-scst-caste-certificate-panchayat
"Self Employment Scheme for Schedule Caste, Telangana",https://services.india.gov.in/service/service_url_redirect?id=MjQwNzQ=,"
                                                        
                              Informational                                                  ","The eligible people from SC communities who are intended to avail financial assistance under economic support schemes (under self employment schemes) from SC Corporation should registered their details in OBMMS Portal within a stipulated time in consultation with respective MPDOs from out of the above registrations,  identification of beneficiaries shall be done by Grama Sabhas in rural areas and Municipal Ward Sabhas in urban areas.",https://services.india.gov.in/service/detail/self-employment-scheme-for-schedule-caste-telangana-1
